Channel,Watch time(Minutes),Stream time(minutes),Peak viewers,Average viewers,Followers,Followers gained,Views gained,Partnered,Mature,Language
2ZR62O53,6196161750,215250,222720,27716,3246298,1734810,93036735,1,0,English
ZJ31SS7Q,6091677300,211845,310998,25610,5310163,1370184,89705964,1,0,English
I31VI9RK,5644590915,515280,387315,10976,1767635,1023779,102611607,1,1,Portuguese
6GP9WLYR,3970318140,517740,300575,7714,3944850,703986,106546942,1,0,English
3DVR0TDD,3671000070,123660,285644,29602,8938903,2068424,78998587,1,0,English
TLLKTNXR,3668799075,82260,263720,42414,1563438,554201,61715781,1,0,English
JK833TIB,3360675195,136275,115633,24181,4074287,1089824,46084211,1,0,English
4HC20DEF,3301867485,147885,68795,18985,508816,425468,670137548,1,0,English
897BWEVW,2928356940,122490,89387,22381,3530767,951730,51349926,1,0,English
QRIFY9U1,2865429915,92880,125408,12377,2607076,1532689,36350662,1,0,English
X97W1HOY,2834436990,108780,142067,25664,5265659,1244341,50119786,1,1,English
X4O05BQ2,2832930285,128490,89170,21739,2666382,199077,50504526,1,0,English
SAPU6TM5,2674646715,80820,639375,20960,4487489,497678,56855694,1,0,English
E1NM7OV4,2588632635,58275,240096,42948,5751354,3820532,58599449,1,0,Spanish
423IB978,2410022550,40575,170115,53986,3983847,3966525,41514854,1,0,Spanish
UMPJGQ3X,2408460990,67740,181600,33514,2911316,1101093,37189666,1,1,German
93053P4K,2329440420,115305,107833,19659,2786162,236169,39334821,1,1,English
9LAS59DS,2186662470,181230,26999,12201,494445,92205,34405975,1,0,Korean
6U5WEZ7E,2055003870,103770,89153,19560,3445134,1325075,46515698,1,0,Portuguese
TDZPYPFP,2029212570,175230,43615,11343,1264808,124242,38718674,1,0,English
LHXWW0WZ,1943299035,153720,34830,12367,434200,137215,19645967,1,0,English
F6EWRR66,1916365860,47325,140557,39848,619382,255088,76225485,1,0,Korean
8RU2QRMK,1845157080,100215,125133,17779,2411995,550678,22672980,1,0,English
PUYCC068,1839882465,73065,97540,23794,4450718,825004,43919410,1,0,English
QMPUBYJY,1811696100,56010,288459,24595,1260160,1082039,25342894,1,1,German
PQU3DO1F,1757406750,54855,538444,28887,3795667,3593081,47094362,1,0,Spanish
Q0BYOO6G,1690237110,135675,123796,12868,1792625,383130,38499423,1,0,Portuguese
E4XR9ETX,1659741015,138300,168112,8481,616168,520342,24029726,1,0,English
F9CU0J4U,1621667925,127815,44976,12869,385250,73602,30610352,1,0,Korean
HC5DZSQG,1619144100,87450,234826,6734,1724316,113469,43345080,1,0,English
TI83JSUX,1546597380,486510,24470,3187,493207,143569,48799554,1,0,French
JSD5NX03,1538511315,141675,81644,10750,2401580,632118,39591707,1,0,French
KT6Q9EQP,1527882945,124680,24892,11220,923448,95776,13505898,1,1,English
04EKCTTD,1517612010,172350,90696,8311,4115083,567795,47295386,1,0,English
K6VWAPK8,1483207890,496950,204491,3020,523758,115965,71583995,1,0,French
QDUL5RSE,1479214575,134760,122552,9396,6726893,1421811,37384058,1,0,English
M12TLZPA,1474742220,83010,106900,16422,1075101,826433,47400543,1,0,Russian
X0ZIB8P1,1470897720,155895,29316,9256,1379123,96793,20034033,1,0,English
X4C0DAGP,1470431925,45660,305119,28830,973727,551345,25924096,1,0,English
5LQGHCS5,1464683175,66675,182869,19495,428284,156721,38774178,1,0,Russian
YHB9R8RZ,1464179820,147660,57431,9728,3135667,1875187,25341820,1,0,English
HVLTYC7T,1461310140,31125,214124,46459,1162746,526244,28313058,1,0,English
4KLHKT4N,1435735725,118995,45843,11717,381918,242369,17836875,0,1,English
6PTTHO2Q,1412913285,57795,173238,22837,1894953,1602088,44178173,1,0,Spanish
1XK1K1ES,1394312895,141285,35833,9117,1008040,450146,35978104,1,0,English
C9QT0UBO,1361024835,164235,144066,8066,746865,370358,32261961,1,1,French
WDC0VWZK,1351758525,37140,171861,36030,934688,307853,28970100,1,0,English
YPFKI4E6,1347412425,103905,70587,10531,1878416,689957,32362117,1,0,English
KJY37IGO,1339344945,193560,44649,6543,470123,340810,14154952,1,0,English
IFKY43KL,1339097490,505080,116547,2635,923689,114948,42403593,1,0,English
6EBW12YL,1330625430,92160,105359,13189,777510,126221,43831479,1,0,Russian
VLCXIU4C,1324519320,100470,66311,12982,2942212,2220765,49441744,1,0,English
81ZJEGZZ,1322448480,33540,206681,36086,1409120,412101,57189129,1,0,English
WURM9U38,1308967860,77955,364816,17020,492954,447601,42952835,1,0,Russian
JJ1AGAEB,1256647110,89760,81926,12996,2035180,1687923,33286370,1,0,English
Y6SNYMF6,1252711830,141135,56449,8683,391726,136943,20882507,1,1,English
5XA3NUIF,1241997345,182310,25482,6681,580794,97615,30550147,1,0,Korean
7544T0MT,1234567245,139920,24286,8479,383892,108832,23037239,1,0,German
FSJJLGZL,1228613130,38370,255542,25918,1011924,325801,33796768,1,0,Portuguese
REX55OQD,1228169940,121455,42079,10053,428073,277529,13890640,1,0,French
HLTHDPHL,1223349555,381735,46710,3180,1478270,447191,26737542,1,0,French
W4S765JM,1197130335,134880,88516,4134,918654,669348,22820310,1,0,English
AV02CQU6,1188645990,141210,21053,8152,778055,72454,12853095,1,0,English
0Y26L3ZA,1186941750,174270,36742,6616,538532,87860,19512632,1,1,English
6KKNVZPG,1184154975,107880,50957,10735,1607134,582089,21254933,1,0,German
P45GP9MH,1172969025,231465,47683,5013,299048,76568,7422911,1,1,English
4P4ILP4G,1149209820,174885,22759,6775,1659108,183911,17820367,1,0,English
063BDV2K,1148114400,117885,85073,9702,1660204,1445590,39439261,1,0,English
RJRI7VYZ,1131509385,215160,26572,5195,303671,128907,21331882,1,0,Japanese
WZTBUAU1,1115650275,90960,233009,12947,587677,158934,51523747,1,0,Spanish
QX7JKBRA,1110952500,184305,16289,5913,424374,57681,11535871,1,1,English
H1UTUDDE,1106781045,109140,33966,10080,1308165,164792,18534278,1,1,English
YKN0TC5Z,1105525440,125550,42230,8546,919026,552959,23472239,1,0,German
3URC7Q28,1088832810,32880,329195,29956,820675,260993,29821162,1,0,English
81S8A1BO,1076179485,137400,45671,7327,2355063,704327,18756705,1,1,English
HK0ACXVN,1052904720,314595,212201,5001,1801697,275934,28759226,1,0,English
7K5SCETG,1052047935,123120,32671,7899,591653,365303,13585178,1,0,English
AS60KHW7,1031011170,82380,135471,11535,1501197,428942,16786627,1,1,English
5SIIAN9K,1029543660,118515,25263,8485,354579,124038,20638084,1,0,Japanese
R8QBIWV2,1023316710,110040,43253,9235,833047,133195,15517436,1,0,English
J1JWQTCJ,1021699920,148425,49379,7134,728097,379973,12449595,1,1,English
